tick,Source 1.activity,Source 1.storage,Source 1.total,Buffering 2.activity,Buffering 2.storage,Buffering 2.total,Sink 3.activity,Sink 3.storage,Sink 3.total
1,2,0,0,0,0,0,0,0,0
2,2,0,0,1.5,0.5,0,0,0,0
3,2,0,0,1.5,1,0,1.5,0,1.5
4,2,0,0,1.5,1.5,0,1.5,0,3
5,2,0,0,1.5,2,0,1.5,0,4.5
6,2,0,0,1.5,2.5,0,1.5,0,6
7,2,0,0,1.5,3,0,1.5,0,7.5
8,2,0,0,1.5,3.5,0,1.5,0,9
9,2,0,0,1.5,4,0,1.5,0,10.5
10,2,0,0,1.5,4.5,0,1.5,0,12
11,2,0,0,1.5,5,0,1.5,0,13.5
12,2,0,0,1.5,5.5,0,1.5,0,15
13,2,0,0,1.5,6,0,1.5,0,16.5
14,2,0,0,1.5,6.5,0,1.5,0,18
15,2,0,0,1.5,7,0,1.5,0,19.5
16,2,0,0,1.5,7.5,0,1.5,0,21
17,2,0,0,1.5,8,0,1.5,0,22.5
18,2,0,0,1.5,8.5,0,1.5,0,24
19,2,0,0,1.5,9,0,1.5,0,25.5
20,2,0,0,1.5,9.5,0,1.5,0,27
21,2,0,0,1.5,10,0,1.5,0,28.5
22,2,0,0,1.5,10.5,0,1.5,0,30
23,2,0,0,1.5,11,0,1.5,0,31.5
24,2,0,0,1.5,11.5,0,1.5,0,33
25,2,0,0,1.5,12,0,1.5,0,34.5
26,2,0,0,1.5,12.5,0,1.5,0,36
27,2,0,0,1.5,13,0,1.5,0,37.5
28,2,0,0,1.5,13.5,0,1.5,0,39
29,2,0,0,1.5,14,0,1.5,0,40.5
30,2,0,0,1.5,14.5,0,1.5,0,42
31,2,0,0,1.5,15,0,1.5,0,43.5
32,2,0,0,1.5,15.5,0,1.5,0,45
33,2,0,0,1.5,16,0,1.5,0,46.5
34,2,0,0,1.5,16.5,0,1.5,0,48
35,2,0,0,1.5,17,0,1.5,0,49.5
36,2,0,0,1.5,17.5,0,1.5,0,51
37,2,0,0,1.5,18,0,1.5,0,52.5
38,2,0,0,1.5,18.5,0,1.5,0,54
39,2,0,0,1.5,19,0,1.5,0,55.5
40,2,0,0,1.5,19.5,0,1.5,0,57
41,2,0,0,1.5,20,0,1.5,0,58.5
42,2,0,0,1.5,20.5,0,1.5,0,60
43,2,0,0,1.5,21,0,1.5,0,61.5
44,2,0,0,1.5,21.5,0,1.5,0,63
45,2,0,0,1.5,22,0,1.5,0,64.5
46,2,0,0,1.5,22.5,0,1.5,0,66
47,2,0,0,1.5,23,0,1.5,0,67.5
48,2,0,0,1.5,23.5,0,1.5,0,69
49,2,0,0,1.5,24,0,1.5,0,70.5
50,2,0,0,1.5,24.5,0,1.5,0,72
51,2,0,0,1.5,25,0,1.5,0,73.5
52,2,0,0,1.5,25.5,0,1.5,0,75
53,2,0,0,1.5,26,0,1.5,0,76.5
54,2,0,0,1.5,26.5,0,1.5,0,78
55,2,0,0,1.5,27,0,1.5,0,79.5
56,2,0,0,1.5,27.5,0,1.5,0,81
57,2,0,0,1.5,28,0,1.5,0,82.5
58,2,0,0,1.5,28.5,0,1.5,0,84
59,2,0,0,1.5,29,0,1.5,0,85.5
60,2,0,0,1.5,29.5,0,1.5,0,87
