tick,Source 1.activity,Source 1.storage,Source 1.total,Splitting 2.activity,Splitting 2.storage,Splitting 2.total,Sink 3.activity,Sink 3.storage,Sink 3.total,Sink 4.activity,Sink 4.storage,Sink 4.total,Sink 5.activity,Sink 5.storage,Sink 5.total
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,6,0,0,2,0,2,2,0,2,2,0,2
4,6,0,0,6,0,0,2,0,4,2,0,4,2,0,4
5,6,0,0,6,0,0,2,0,6,2,0,6,2,0,6
6,6,0,0,6,0,0,2,0,8,2,0,8,2,0,8
7,6,0,0,6,0,0,2,0,10,2,0,10,2,0,10
8,6,0,0,6,0,0,2,0,12,2,0,12,2,0,12
9,6,0,0,6,0,0,2,0,14,2,0,14,2,0,14
10,6,0,0,6,0,0,2,0,16,2,0,16,2,0,16
11,6,0,0,6,0,0,2,0,18,2,0,18,2,0,18
12,6,0,0,6,0,0,2,0,20,2,0,20,2,0,20
13,6,0,0,6,0,0,2,0,22,2,0,22,2,0,22
14,6,0,0,6,0,0,2,0,24,2,0,24,2,0,24
15,6,0,0,6,0,0,2,0,26,2,0,26,2,0,26
16,6,0,0,6,0,0,2,0,28,2,0,28,2,0,28
17,6,0,0,6,0,0,2,0,30,2,0,30,2,0,30
18,6,0,0,6,0,0,2,0,32,2,0,32,2,0,32
19,6,0,0,6,0,0,2,0,34,2,0,34,2,0,34
20,6,0,0,6,0,0,2,0,36,2,0,36,2,0,36
21,6,0,0,6,0,0,2,0,38,2,0,38,2,0,38
22,6,0,0,6,0,0,2,0,40,2,0,40,2,0,40
23,6,0,0,6,0,0,2,0,42,2,0,42,2,0,42
24,6,0,0,6,0,0,2,0,44,2,0,44,2,0,44
25,6,0,0,6,0,0,2,0,46,2,0,46,2,0,46
26,6,0,0,6,0,0,2,0,48,2,0,48,2,0,48
27,6,0,0,6,0,0,2,0,50,2,0,50,2,0,50
28,6,0,0,6,0,0,2,0,52,2,0,52,2,0,52
29,6,0,0,6,0,0,2,0,54,2,0,54,2,0,54
30,6,0,0,6,0,0,2,0,56,2,0,56,2,0,56
31,6,0,0,6,0,0,2,0,58,2,0,58,2,0,58
32,6,0,0,6,0,0,2,0,60,2,0,60,2,0,60
33,6,0,0,6,0,0,2,0,62,2,0,62,2,0,62
34,6,0,0,6,0,0,2,0,64,2,0,64,2,0,64
35,6,0,0,6,0,0,2,0,66,2,0,66,2,0,66
36,6,0,0,6,0,0,2,0,68,2,0,68,2,0,68
37,6,0,0,6,0,0,2,0,70,2,0,70,2,0,70
38,6,0,0,6,0,0,2,0,72,2,0,72,2,0,72
39,6,0,0,6,0,0,2,0,74,2,0,74,2,0,74
40,6,0,0,6,0,0,2,0,76,2,0,76,2,0,76
41,6,0,0,6,0,0,2,0,78,2,0,78,2,0,78
42,6,0,0,6,0,0,2,0,80,2,0,80,2,0,80
43,6,0,0,6,0,0,2,0,82,2,0,82,2,0,82
44,6,0,0,6,0,0,2,0,84,2,0,84,2,0,84
45,6,0,0,6,0,0,2,0,86,2,0,86,2,0,86
46,6,0,0,6,0,0,2,0,88,2,0,88,2,0,88
47,6,0,0,6,0,0,2,0,90,2,0,90,2,0,90
48,6,0,0,6,0,0,2,0,92,2,0,92,2,0,92
49,6,0,0,6,0,0,2,0,94,2,0,94,2,0,94
50,6,0,0,6,0,0,2,0,96,2,0,96,2,0,96
51,6,0,0,6,0,0,2,0,98,2,0,98,2,0,98
52,6,0,0,6,0,0,2,0,100,2,0,100,2,0,100
53,6,0,0,6,0,0,2,0,102,2,0,102,2,0,102
54,6,0,0,6,0,0,2,0,104,2,0,104,2,0,104
55,6,0,0,6,0,0,2,0,106,2,0,106,2,0,106
56,6,0,0,6,0,0,2,0,108,2,0,108,2,0,108
57,6,0,0,6,0,0,2,0,110,2,0,110,2,0,110
58,6,0,0,6,0,0,2,0,112,2,0,112,2,0,112
59,6,0,0,6,0,0,2,0,114,2,0,114,2,0,114
60,6,0,0,6,0,0,2,0,116,2,0,116,2,0,116
